hello
Results for create_user():
	Mean: 80.2738
	Standard Deviation: 8.161402723150044
	Variance: 66.60849440944095
	Coefficient of Variation: 0.10166956993626868

Results for follow():
	Mean: 78.7218
	Standard Deviation: 6.389779940558898
	Variance: 40.82928768876888
	Coefficient of Variation: 0.08116912901583676

Results for post_tweet():
	Mean: 911.0678
	Standard Deviation: 99.5066337495949
	Variance: 9901.570160176017
	Coefficient of Variation: 0.10921978995371683

Results for unfollow():
	Mean: 78.6597
	Standard Deviation: 6.071291622727146
	Variance: 36.86058196819682
	Coefficient of Variation: 0.07718427126885999

Results for delete_user():
	Mean: 105.2009
	Standard Deviation: 33.51330263246721
	Variance: 1123.1414533353336
	Coefficient of Variation: 0.3185647901535748

create_user	follow	post_tweet	unfollow	delete_user
79	78	986	79	115
78	78	894	79	105
79	79	908	84	113
79	72	901	78	108
78	78	928	78	101
80	76	905	79	108
78	79	899	78	101
78	78	902	78	108
78	80	1086	78	106
77	81	905	84	105
78	80	899	78	110
78	78	904	79	101
79	81	908	78	106
78	78	903	78	108
77	81	906	88	107
79	77	889	79	103
79	80	958	86	113
80	70	892	79	101
101	78	903	78	109
78	79	897	79	101
79	80	997	79	103
79	78	908	78	105
78	79	896	79	109
79	79	905	85	109
79	78	915	79	108
102	71	893	78	106
79	78	905	79	108
84	81	912	78	102
78	73	1045	78	109
79	72	899	78	105
78	77	906	83	109
79	77	908	75	102
84	77	933	79	99
78	72	913	84	101
79	80	914	79	101
79	88	914	78	103
79	81	944	78	109
79	76	904	84	102
79	78	902	79	103
79	79	910	79	108
78	78	990	78	110
79	75	900	79	100
78	76	913	87	106
78	80	898	78	99
78	79	954	85	102
81	76	966	79	100
78	73	951	79	108
79	73	966	73	100
77	79	1132	78	100
78	80	970	79	106
79	72	972	78	108
83	81	968	75	100
78	80	967	79	103
78	80	959	78	108
80	80	947	73	107
78	82	943	78	106
78	81	993	78	105
78	71	944	73	105
78	80	940	77	100
78	77	927	79	101
78	81	995	73	121
117	76	900	74	109
78	93	906	78	106
78	81	915	83	109
80	77	915	78	120
78	79	904	78	112
78	79	894	91	110
78	72	899	73	108
86	87	1050	78	101
78	78	902	78	109
78	80	902	78	101
78	79	905	81	116
79	79	1680	79	106
87	80	910	79	105
78	82	918	77	109
85	84	930	79	100
79	80	939	79	106
78	76	909	79	116
79	79	894	78	107
80	76	916	79	104
79	81	987	79	100
79	72	909	78	100
84	76	898	77	108
78	81	929	79	106
77	79	972	79	102
84	79	903	78	106
78	79	906	78	107
80	80	920	79	116
78	80	1037	79	107
84	72	898	78	112
80	81	902	79	107
79	80	858	78	102
79	72	920	79	108
78	72	924	84	106
78	77	915	78	108
78	78	930	75	108
78	76	940	78	101
79	71	907	79	100
78	78	918	78	101
79	78	929	80	102
79	79	995	78	109
79	76	913	80	109
80	82	915	78	103
79	81	932	78	109
79	77	934	79	101
79	76	909	78	100
78	75	918	78	105
78	80	932	78	140
78	80	1055	79	104
79	77	899	78	99
79	72	894	78	109
79	73	851	73	108
78	78	922	79	100
78	80	917	79	110
78	73	921	79	108
78	81	919	80	99
78	81	926	79	103
79	80	930	79	108
85	82	913	73	105
83	80	909	79	111
79	81	982	79	106
